Dates,SPX_MOV_AVG_200D,SPX_RSI_14D,SPX_MOV_AVG_50D,SPX_PX_LAST,SPX_PX_OPEN,SPX_PX_HIGH,SPX_PX_LOW,SPX_PX_VOLUME,SPX_VOLATILITY_30D,SPX_BETA_ADJ_OVERRIDABLE,SPX_PX_HIGH_LOW_DIFFERENCE,CONCCONF_PX_LAST,NAPMPMI_PX_LAST,SPXINDEX_PE_RATIO,SPXINDEX_PX_TO_BOOK_RATIO,SPXINDEX_PX_TO_SALES_RATIO,SPXINDEX_EARN_YLD,USGG10YR_PX_LAST,VIX_PX_LAST
2016-06-16,2016.64,47.62,2077.44,2077.99,2066.36,2079.62,2050.37,561000000.0,9.82,1.0,29.25,92.4,51.4,18.8901,2.8031,1.8327,5.2938,1.5788,19.37
2016-06-17,2017.43,44.93,2078.02,2071.22,2078.2,2078.2,2062.84,1310000000.0,9.85,1.0,15.36,92.4,51.4,18.8286,2.794,1.8267,5.3111,1.6078,19.41
2016-06-20,2018.1,50.29,2078.74,2083.25,2075.58,2100.66,2075.58,605000000.0,9.99,0.99,25.08,92.4,51.4,18.9379,2.8102,1.8373,5.2804,1.6886,18.37
2016-06-21,2018.79,52.62,2079.67,2088.9,2085.19,2093.66,2083.02,542000000.0,9.3,0.99,10.64,92.4,51.4,18.9893,2.8178,1.8423,5.2661,1.7059,18.48
2016-06-22,2019.61,51.05,2080.15,2085.45,2089.75,2099.71,2084.36,524000000.0,8.83,0.99,15.35,92.4,51.4,18.9567,2.8132,1.8392,5.2752,1.6852,21.17
2016-06-23,2020.33,61.16,2080.77,2113.32,2092.8,2113.32,2092.8,531000000.0,9.63,0.99,20.52,92.4,51.4,19.21,2.8507,1.8638,5.2056,1.7458,17.25
2016-06-24,2020.8,38.09,2079.86,2037.41,2103.81,2103.81,2032.57,1420000000.0,14.56,1.0,71.24,92.4,51.4,18.52,2.7484,1.7969,5.3996,1.5599,25.76
2016-06-27,2021.05,31.81,2078.26,2000.54,2031.45,2031.45,1991.68,894000000.0,15.2,1.0,39.77,92.4,51.4,18.1847,2.6986,1.7644,5.4991,1.4377,23.85
2016-06-28,2021.42,41.77,2077.09,2036.09,2006.67,2036.09,2006.67,728000000.0,15.96,1.0,29.42,92.4,51.4,18.5067,2.7465,1.7957,5.4034,1.4664,18.75
2016-06-29,2022.01,49.52,2076.49,2070.77,2042.69,2073.13,2042.69,701000000.0,16.76,1.0,30.44,92.4,51.4,18.822,2.7933,1.8263,5.3129,1.5155,16.64
2016-06-30,2022.61,54.77,2076.42,2098.86,2073.17,2098.94,2070.0,904000000.0,17.15,1.0,28.94,97.4,52.2,19.0774,2.8312,1.8511,5.2418,1.4697,15.63
2016-07-01,2023.15,55.5,2076.65,2102.95,2099.34,2108.71,2097.9,560000000.0,17.09,1.0,10.81,97.4,52.2,19.0988,2.8346,1.8542,5.2359,1.4441,14.77
2016-07-05,2023.64,52.32,2076.59,2088.55,2095.05,2095.05,2080.86,657000000.0,17.22,1.0,14.19,97.4,52.2,18.968,2.8152,1.8415,5.272,1.375,15.58
2016-07-06,2024.35,54.5,2076.83,2099.73,2084.43,2100.72,2074.02,656000000.0,16.82,1.0,26.7,97.4,52.2,19.0696,2.8303,1.8514,5.244,1.3682,14.96
2016-07-07,2025.01,54.06,2076.95,2097.9,2100.42,2109.08,2089.39,554000000.0,16.7,1.0,19.69,97.4,52.2,19.0531,2.8278,1.8497,5.2485,1.385,14.76
2016-07-08,2025.94,60.08,2077.65,2129.9,2106.97,2131.71,2106.97,604000000.0,17.29,1.0,24.74,97.4,52.2,19.3438,2.871,1.878,5.1696,1.3579,13.2
2016-07-11,2026.93,61.32,2078.87,2137.16,2131.72,2143.16,2131.72,531000000.0,17.28,1.0,11.44,97.4,52.2,19.4098,2.8808,1.8844,5.152,1.4303,13.54
2016-07-12,2028.03,63.81,2080.61,2152.14,2139.5,2155.4,2139.5,611000000.0,17.37,1.0,15.9,97.4,52.2,19.546,2.9009,1.8976,5.1161,1.51,13.55
2016-07-13,2029.14,63.86,2082.03,2152.43,2153.81,2156.45,2146.21,522000000.0,17.38,1.0,10.24,97.4,52.2,19.5486,2.9013,1.8978,5.1155,1.4743,13.04
